"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"99","Makari",28508009.888837,0.0035952619208206,0.0013518957554994,0.000291748941078139,0.0564682005900691,17506957.4636021,19483400.2615357,29567625.4637748,61976025.1729128,116933606.250723
"100","Makénéné",265471902.706911,0.00265447879464286,0.000183902101915294,0.00044703437596034,0.140389758938555,132630353.028621,165945176.79665,325441649.54142,570395981.954579,1094176707.49409
"101","Malantouen",132902804.08602,0.00336047553424435,0.000746048221127396,0.000286387374807,0.159299299942406,28446174.5927143,46159985.4375811,151330536.229806,361933094.313574,615894358.575306
"102","Mandjou",38772065.2278956,0.00460856026785714,0.00297615844446666,0.000441676835836716,0.0623241212148084,22826428.5119603,28167893.9323886,37673416.251449,64365597.4363364,178805340.04775
"103","Manjo",192453222.232004,0.000831047155537217,4.5410346181215e-05,0.00020713140609026,0.0487974205568595,111106264.955184,150996884.785245,217228165.65756,334453850.974378,761152370.394357
"104","Maroua2",141707229.203842,0.000988288603983128,0.000101877532442928,0.00015095501133449,0.0906290943834459,55041131.5542084,78006852.7619651,143611341.561978,285965813.830899,588580018.961781
"105","Maroua3",24866033.3009325,0.00176165786187114,0.00155511711905184,0.000293039076355068,0.0479716518988023,13095930.7249911,16909990.1132178,22274628.7096474,42732317.5887591,117332975.023898
"106","Martap",84019413.1251102,0.0134775600137174,0.00327291485743479,0.0005611696280256,0.0940033021237607,37827589.8742945,47237363.4326952,96944799.4636915,158654015.320993,317758108.309069
"107","MayoBaléo",24505036.0013467,0.00451082541454082,0.00180834783829794,0.000371014500776252,0.0658251417334846,15697006.5000757,18614273.2890919,30737291.6660273,54428751.3676049,107175495.496544
"108","MayoDarlé",257181388.511876,0.00617797226331361,0.000752763333423749,0.00054392947956688,0.242203065091305,93399617.0184877,116727987.234513,261075360.715281,689950913.007906,1123107074.82251
"109","MayoOulo",31550707.0873409,0.00145351020377818,0.00114668246565411,0.000354256973947349,0.153504195575866,10994380.4150632,13199492.793305,19081640.015162,54272009.387968,312573268.483214
"110","Mbalmayo",469577446.995121,0.000220210124942517,8.12829966640283e-06,0.000272812587981947,0.0657403378378256,223642147.517634,312670010.624683,511068169.974762,843119482.654898,1666686972.13818
"111","Mbandjock",122103233.858564,0.00177480012404007,0.0002347189895867,0.000273958428368024,0.191886426478583,37340452.6959488,56696855.5988295,157018650.457007,313835940.590967,687750618.101044
"112","Mbang",75783764.6452181,0.0225992429846939,0.00162598606564926,0.000268791732572759,0.0298134199974063,68261487.3324848,67903459.0816122,76885954.7559938,118798683.320736,183685521.660524
"113","Mbanga",138695102.708952,0.00264631529150904,0.000163150059491357,0.000259488182892728,0.0939555074747518,86013842.3584247,94349454.5724131,162702965.485488,287213990.557824,659655618.359704
"114","Mbangassina",94610775.4557113,0.00235731247959705,0.00020954199381599,0.000294734789793927,0.0857723969185138,47923348.2112455,52928212.2365452,103279024.525673,207097918.169896,473093522.704938
"115","Mbankomo",122355885.318199,0.0106391930727023,0.000899581901285023,0.000498274872830319,0.110565145319067,49281841.427788,88799803.9491695,140793749.029915,270965495.590267,561753368.992379
"116","Mbé",60897621.0893403,0.00920386734693878,0.00343833864067054,0.000554801369040136,0.0958171181351856,37586873.4272452,43987825.8184315,64179210.7750534,102278856.394871,223976469.800934
"117","Mbouda",200620607.842122,0.00301968224823567,0.000343562237228276,0.000367075835386169,0.225623302436147,39048856.0196103,58784233.3653176,204762969.712209,573165392.762429,1282563783.01364
"118","Mbven",225951189.978575,0.00490263553994083,0.000290873572417683,0.000559594453578034,0.139267142119862,99719721.8368817,164606028.646471,254839230.969138,520726688.145733,945948553.682369
"119","Meiganga",172385992.428312,0.00157281971288423,0.000181243715244564,0.000241232402221275,0.178114480488451,36959862.804957,70537607.5321824,186131116.339366,442438655.351678,1020806048.23229
"120","Melong",75090562.7891438,0.00157714251696687,0.000168076086936472,0.000197750408966838,0.074627098808114,41871077.1227819,65397989.5942748,96861554.3097367,185311006.784209,317484411.202436
"121","Mengong",59581481.3669088,0.00359801948410641,0.000423181756776437,0.000299222171413329,0.0888472568047258,26628141.8509516,32352355.4038593,59620138.8792809,164830947.46418,325300201.088536
"122","Méri",27535640.3756402,0.00132388488520408,0.00304328072698256,0.000415987584292118,0.0527883162499027,19535884.2709174,19738450.6447612,30122172.4169272,45719731.9871715,90764858.8085544
"123","Messamena",33357598.3318081,0.00226668845663265,0.0035796075368184,0.000350778969823852,0.0350747045266242,23244355.0704248,28764397.1813095,37732358.2880097,49782025.9317219,79051706.2529684
"124","Meyomessala",74734630.4366404,0.00887049410076531,0.000668183013758619,0.000479601193448934,0.0758986973730845,54811102.3498788,59077792.5000871,82758326.0189845,159310702.973894,363815561.079506
"125","Meyomessi",93819943.3765499,0.0101141964285714,0.00174130667861236,0.000484943071783217,0.124588192667536,46039016.726728,64229139.1606848,112959730.349254,168982285.380655,415657854.740965
"126","Mfou",302819063.037778,0.00172882058237403,8.29838354526913e-05,0.000325940336235428,0.089499902051806,134272982.674876,159926087.743148,312804747.49165,612598022.246266,1432719244.14421
